    9.3528 MB /   1.00 sec =   78.4548 Mbps     0 / 38309 ~drop/pkt  0.00 ~%loss
    9.3396 MB /   1.00 sec =   78.3466 Mbps     0 / 38255 ~drop/pkt  0.00 ~%loss
    9.3391 MB /   1.00 sec =   78.3421 Mbps     0 / 38253 ~drop/pkt  0.00 ~%loss
    9.3389 MB /   1.00 sec =   78.3390 Mbps     0 / 38252 ~drop/pkt  0.00 ~%loss
    9.3394 MB /   1.00 sec =   78.3441 Mbps     0 / 38254 ~drop/pkt  0.00 ~%loss
    9.3396 MB /   1.00 sec =   78.3461 Mbps     0 / 38255 ~drop/pkt  0.00 ~%loss
    9.3391 MB /   1.00 sec =   78.3436 Mbps     0 / 38253 ~drop/pkt  0.00 ~%loss
    9.3391 MB /   1.00 sec =   78.3412 Mbps     0 / 38253 ~drop/pkt  0.00 ~%loss
    9.3394 MB /   1.00 sec =   78.3436 Mbps     0 / 38254 ~drop/pkt  0.00 ~%loss
    9.3394 MB /   1.00 sec =   78.3455 Mbps     0 / 38254 ~drop/pkt  0.00 ~%loss
    9.3396 MB /   1.00 sec =   78.3464 Mbps     0 / 38255 ~drop/pkt  0.00 ~%loss
    9.3391 MB /   1.00 sec =   78.3426 Mbps     0 / 38253 ~drop/pkt  0.00 ~%loss
    9.3391 MB /   1.00 sec =   78.3417 Mbps     0 / 38253 ~drop/pkt  0.00 ~%loss
    9.3391 MB /   1.00 sec =   78.3408 Mbps     0 / 38253 ~drop/pkt  0.00 ~%loss
    9.3396 MB /   1.00 sec =   78.3474 Mbps     0 / 38255 ~drop/pkt  0.00 ~%loss
    9.3394 MB /   1.00 sec =   78.3449 Mbps     0 / 38254 ~drop/pkt  0.00 ~%loss
    9.3394 MB /   1.00 sec =   78.3427 Mbps     0 / 38254 ~drop/pkt  0.00 ~%loss
    9.3389 MB /   1.00 sec =   78.3409 Mbps     0 / 38252 ~drop/pkt  0.00 ~%loss
    9.3394 MB /   1.00 sec =   78.3431 Mbps     0 / 38254 ~drop/pkt  0.00 ~%loss
    9.3396 MB /   1.00 sec =   78.3474 Mbps     0 / 38255 ~drop/pkt  0.00 ~%loss
    9.3389 MB /   1.00 sec =   78.3400 Mbps     0 / 38252 ~drop/pkt  0.00 ~%loss
    9.3398 MB /   1.00 sec =   78.3486 Mbps     0 / 38256 ~drop/pkt  0.00 ~%loss
    9.3389 MB /   1.00 sec =   78.3385 Mbps     0 / 38252 ~drop/pkt  0.00 ~%loss
    9.3394 MB /   1.00 sec =   78.3444 Mbps     0 / 38254 ~drop/pkt  0.00 ~%loss
    9.3394 MB /   1.00 sec =   78.3452 Mbps     0 / 38254 ~drop/pkt  0.00 ~%loss
    9.3391 MB /   1.00 sec =   78.3407 Mbps     0 / 38253 ~drop/pkt  0.00 ~%loss
    9.3394 MB /   1.00 sec =   78.3445 Mbps     0 / 38254 ~drop/pkt  0.00 ~%loss
    9.3394 MB /   1.00 sec =   78.3454 Mbps     0 / 38254 ~drop/pkt  0.00 ~%loss
    9.3394 MB /   1.00 sec =   78.3443 Mbps     0 / 38254 ~drop/pkt  0.00 ~%loss
    9.3394 MB /   1.00 sec =   78.3444 Mbps     0 / 38254 ~drop/pkt  0.00 ~%loss
    9.3391 MB /   1.00 sec =   78.3405 Mbps     0 / 38253 ~drop/pkt  0.00 ~%loss
