    7.8756 MB /   1.00 sec =   66.0640 Mbps     0 / 64517 ~drop/pkt  0.00 ~%loss
    7.8641 MB /   1.00 sec =   65.9688 Mbps     0 / 64423 ~drop/pkt  0.00 ~%loss
    7.8651 MB /   1.00 sec =   65.9781 Mbps     0 / 64431 ~drop/pkt  0.00 ~%loss
    7.8660 MB /   1.00 sec =   65.9841 Mbps     0 / 64438 ~drop/pkt  0.00 ~%loss
    7.8647 MB /   1.00 sec =   65.9743 Mbps     0 / 64428 ~drop/pkt  0.00 ~%loss
    7.8651 MB /   1.00 sec =   65.9774 Mbps     0 / 64431 ~drop/pkt  0.00 ~%loss
    7.8650 MB /   1.00 sec =   65.9763 Mbps     0 / 64430 ~drop/pkt  0.00 ~%loss
    7.8652 MB /   1.00 sec =   65.9750 Mbps     0 / 64432 ~drop/pkt  0.00 ~%loss
    7.8657 MB /   1.00 sec =   65.9858 Mbps     0 / 64436 ~drop/pkt  0.00 ~%loss
    7.8647 MB /   1.00 sec =   65.9743 Mbps     0 / 64428 ~drop/pkt  0.00 ~%loss
    7.8650 MB /   1.00 sec =   65.9763 Mbps     0 / 64430 ~drop/pkt  0.00 ~%loss
    7.8647 MB /   1.00 sec =   65.9747 Mbps     0 / 64428 ~drop/pkt  0.00 ~%loss
    7.8661 MB /   1.00 sec =   65.9852 Mbps     0 / 64439 ~drop/pkt  0.00 ~%loss
    7.8644 MB /   1.00 sec =   65.9682 Mbps     0 / 64425 ~drop/pkt  0.00 ~%loss
    7.8652 MB /   1.00 sec =   65.9813 Mbps     0 / 64432 ~drop/pkt  0.00 ~%loss
    7.8651 MB /   1.00 sec =   65.9746 Mbps     0 / 64431 ~drop/pkt  0.00 ~%loss
    7.8663 MB /   1.00 sec =   65.9904 Mbps     0 / 64441 ~drop/pkt  0.00 ~%loss
    7.8645 MB /   1.00 sec =   65.9722 Mbps     0 / 64426 ~drop/pkt  0.00 ~%loss
    7.8645 MB /   1.00 sec =   65.9726 Mbps     0 / 64426 ~drop/pkt  0.00 ~%loss
    7.8654 MB /   1.00 sec =   65.9770 Mbps     0 / 64433 ~drop/pkt  0.00 ~%loss
    7.8658 MB /   1.00 sec =   65.9855 Mbps     0 / 64437 ~drop/pkt  0.00 ~%loss
    7.8657 MB /   1.00 sec =   65.9826 Mbps     0 / 64436 ~drop/pkt  0.00 ~%loss
    7.8646 MB /   1.00 sec =   65.9731 Mbps     0 / 64427 ~drop/pkt  0.00 ~%loss
    7.8650 MB /   1.00 sec =   65.9764 Mbps     0 / 64430 ~drop/pkt  0.00 ~%loss
    7.8647 MB /   1.00 sec =   65.9704 Mbps     0 / 64428 ~drop/pkt  0.00 ~%loss
    7.8657 MB /   1.00 sec =   65.9862 Mbps     0 / 64436 ~drop/pkt  0.00 ~%loss
    7.8650 MB /   1.00 sec =   65.9763 Mbps     0 / 64430 ~drop/pkt  0.00 ~%loss
    7.8654 MB /   1.00 sec =   65.9795 Mbps     0 / 64433 ~drop/pkt  0.00 ~%loss
    7.8652 MB /   1.00 sec =   65.9783 Mbps     0 / 64432 ~drop/pkt  0.00 ~%loss
    7.8651 MB /   1.00 sec =   65.9773 Mbps     0 / 64431 ~drop/pkt  0.00 ~%loss
    7.8655 MB /   1.00 sec =   65.9804 Mbps     0 / 64434 ~drop/pkt  0.00 ~%loss
    7.8644 MB /   1.00 sec =   65.9707 Mbps     0 / 64425 ~drop/pkt  0.00 ~%loss
    7.8660 MB /   1.00 sec =   65.9851 Mbps     0 / 64438 ~drop/pkt  0.00 ~%loss
    7.8649 MB /   1.00 sec =   65.9753 Mbps     0 / 64429 ~drop/pkt  0.00 ~%loss
    7.8654 MB /   1.00 sec =   65.9793 Mbps     0 / 64433 ~drop/pkt  0.00 ~%loss
    7.8652 MB /   1.00 sec =   65.9785 Mbps     0 / 64432 ~drop/pkt  0.00 ~%loss
    7.8646 MB /   1.00 sec =   65.9696 Mbps     0 / 64427 ~drop/pkt  0.00 ~%loss
    7.8657 MB /   1.00 sec =   65.9862 Mbps     0 / 64436 ~drop/pkt  0.00 ~%loss
    7.8650 MB /   1.00 sec =   65.9762 Mbps     0 / 64430 ~drop/pkt  0.00 ~%loss
    7.8652 MB /   1.00 sec =   65.9785 Mbps     0 / 64432 ~drop/pkt  0.00 ~%loss
    7.8646 MB /   1.00 sec =   65.9724 Mbps     0 / 64427 ~drop/pkt  0.00 ~%loss
    7.8662 MB /   1.00 sec =   65.9878 Mbps     0 / 64440 ~drop/pkt  0.00 ~%loss
    7.8655 MB /   1.00 sec =   65.9802 Mbps     0 / 64434 ~drop/pkt  0.00 ~%loss
    7.8646 MB /   1.00 sec =   65.9732 Mbps     0 / 64427 ~drop/pkt  0.00 ~%loss
    7.8656 MB /   1.00 sec =   65.9815 Mbps     0 / 64435 ~drop/pkt  0.00 ~%loss
    7.8646 MB /   1.00 sec =   65.9732 Mbps     0 / 64427 ~drop/pkt  0.00 ~%loss
    7.8646 MB /   1.00 sec =   65.9723 Mbps     0 / 64427 ~drop/pkt  0.00 ~%loss
    7.8657 MB /   1.00 sec =   65.9833 Mbps     0 / 64436 ~drop/pkt  0.00 ~%loss
    7.8650 MB /   1.00 sec =   65.9763 Mbps     0 / 64430 ~drop/pkt  0.00 ~%loss
    7.8661 MB /   1.00 sec =   65.9855 Mbps     0 / 64439 ~drop/pkt  0.00 ~%loss
    7.8638 MB /   1.00 sec =   65.9665 Mbps     0 / 64420 ~drop/pkt  0.00 ~%loss
    7.8663 MB /   1.00 sec =   65.9872 Mbps     0 / 64441 ~drop/pkt  0.00 ~%loss
    7.8651 MB /   1.00 sec =   65.9774 Mbps     0 / 64431 ~drop/pkt  0.00 ~%loss
    7.8652 MB /   1.00 sec =   65.9782 Mbps     0 / 64432 ~drop/pkt  0.00 ~%loss
    7.8651 MB /   1.00 sec =   65.9773 Mbps     0 / 64431 ~drop/pkt  0.00 ~%loss
    7.8652 MB /   1.00 sec =   65.9785 Mbps     0 / 64432 ~drop/pkt  0.00 ~%loss
    7.8643 MB /   1.00 sec =   65.9691 Mbps     0 / 64424 ~drop/pkt  0.00 ~%loss
    7.8661 MB /   1.00 sec =   65.9862 Mbps     0 / 64439 ~drop/pkt  0.00 ~%loss
    7.8645 MB /   1.00 sec =   65.9700 Mbps     0 / 64426 ~drop/pkt  0.00 ~%loss
    7.8652 MB /   1.00 sec =   65.9776 Mbps     0 / 64432 ~drop/pkt  0.00 ~%loss

  471.9374 MB /  60.00 sec =   65.9792 Mbps 25 %TX 34 %RX 0 / 3866111 drop/pkt 0.00 %loss
