   10.5703 MB /   1.00 sec =   88.6683 Mbps     0 / 21648 ~drop/pkt  0.00 ~%loss
   10.5586 MB /   1.00 sec =   88.5717 Mbps     0 / 21624 ~drop/pkt  0.00 ~%loss
   10.5596 MB /   1.00 sec =   88.5802 Mbps     0 / 21626 ~drop/pkt  0.00 ~%loss
   10.5605 MB /   1.00 sec =   88.5880 Mbps     0 / 21628 ~drop/pkt  0.00 ~%loss
   10.5581 MB /   1.00 sec =   88.5659 Mbps     0 / 21623 ~drop/pkt  0.00 ~%loss
   10.5610 MB /   1.00 sec =   88.5944 Mbps     0 / 21629 ~drop/pkt  0.00 ~%loss
   10.5581 MB /   1.00 sec =   88.5644 Mbps     0 / 21623 ~drop/pkt  0.00 ~%loss
   10.5586 MB /   1.00 sec =   88.5723 Mbps     0 / 21624 ~drop/pkt  0.00 ~%loss
   10.5601 MB /   1.00 sec =   88.5872 Mbps     0 / 21627 ~drop/pkt  0.00 ~%loss
   10.5596 MB /   1.00 sec =   88.5799 Mbps     0 / 21626 ~drop/pkt  0.00 ~%loss
   10.5610 MB /   1.00 sec =   88.5931 Mbps     0 / 21629 ~drop/pkt  0.00 ~%loss
   10.5581 MB /   1.00 sec =   88.5644 Mbps     0 / 21623 ~drop/pkt  0.00 ~%loss
   10.5581 MB /   1.00 sec =   88.5705 Mbps     0 / 21623 ~drop/pkt  0.00 ~%loss
   10.5615 MB /   1.00 sec =   88.5965 Mbps     0 / 21630 ~drop/pkt  0.00 ~%loss
   10.5586 MB /   1.00 sec =   88.5699 Mbps     0 / 21624 ~drop/pkt  0.00 ~%loss
   10.5586 MB /   1.00 sec =   88.5735 Mbps     0 / 21624 ~drop/pkt  0.00 ~%loss
   10.5610 MB /   1.00 sec =   88.5929 Mbps     0 / 21629 ~drop/pkt  0.00 ~%loss
   10.5605 MB /   1.00 sec =   88.5884 Mbps     0 / 21628 ~drop/pkt  0.00 ~%loss
   10.5591 MB /   1.00 sec =   88.5760 Mbps     0 / 21625 ~drop/pkt  0.00 ~%loss
   10.5601 MB /   1.00 sec =   88.5841 Mbps     0 / 21627 ~drop/pkt  0.00 ~%loss
   10.5576 MB /   1.00 sec =   88.5616 Mbps     0 / 21622 ~drop/pkt  0.00 ~%loss
   10.5596 MB /   1.00 sec =   88.5809 Mbps     0 / 21626 ~drop/pkt  0.00 ~%loss
   10.5596 MB /   1.00 sec =   88.5809 Mbps     0 / 21626 ~drop/pkt  0.00 ~%loss
   10.5596 MB /   1.00 sec =   88.5814 Mbps     0 / 21626 ~drop/pkt  0.00 ~%loss
   10.5610 MB /   1.00 sec =   88.5924 Mbps     0 / 21629 ~drop/pkt  0.00 ~%loss
   10.5591 MB /   1.00 sec =   88.5761 Mbps     0 / 21625 ~drop/pkt  0.00 ~%loss
   10.5596 MB /   1.00 sec =   88.5793 Mbps     0 / 21626 ~drop/pkt  0.00 ~%loss
   10.5581 MB /   1.00 sec =   88.5678 Mbps     0 / 21623 ~drop/pkt  0.00 ~%loss
   10.5605 MB /   1.00 sec =   88.5882 Mbps     0 / 21628 ~drop/pkt  0.00 ~%loss
   10.5601 MB /   1.00 sec =   88.5849 Mbps     0 / 21627 ~drop/pkt  0.00 ~%loss
   10.5596 MB /   1.00 sec =   88.5803 Mbps     0 / 21626 ~drop/pkt  0.00 ~%loss
   10.5576 MB /   1.00 sec =   88.5617 Mbps     0 / 21622 ~drop/pkt  0.00 ~%loss
   10.5596 MB /   1.00 sec =   88.5815 Mbps     0 / 21626 ~drop/pkt  0.00 ~%loss
   10.5596 MB /   1.00 sec =   88.5779 Mbps     0 / 21626 ~drop/pkt  0.00 ~%loss
   10.5610 MB /   1.00 sec =   88.5944 Mbps     0 / 21629 ~drop/pkt  0.00 ~%loss
   10.5581 MB /   1.00 sec =   88.5654 Mbps     0 / 21623 ~drop/pkt  0.00 ~%loss
   10.5610 MB /   1.00 sec =   88.5955 Mbps     0 / 21629 ~drop/pkt  0.00 ~%loss
   10.5591 MB /   1.00 sec =   88.5752 Mbps     0 / 21625 ~drop/pkt  0.00 ~%loss
   10.5586 MB /   1.00 sec =   88.5719 Mbps     0 / 21624 ~drop/pkt  0.00 ~%loss
   10.5605 MB /   1.00 sec =   88.5884 Mbps     0 / 21628 ~drop/pkt  0.00 ~%loss
   10.5596 MB /   1.00 sec =   88.5800 Mbps     0 / 21626 ~drop/pkt  0.00 ~%loss
   10.5596 MB /   1.00 sec =   88.5803 Mbps     0 / 21626 ~drop/pkt  0.00 ~%loss
   10.5581 MB /   1.00 sec =   88.5679 Mbps     0 / 21623 ~drop/pkt  0.00 ~%loss
   10.5596 MB /   1.00 sec =   88.5798 Mbps     0 / 21626 ~drop/pkt  0.00 ~%loss
   10.5591 MB /   1.00 sec =   88.5767 Mbps     0 / 21625 ~drop/pkt  0.00 ~%loss
   10.5610 MB /   1.00 sec =   88.5918 Mbps     0 / 21629 ~drop/pkt  0.00 ~%loss
   10.5586 MB /   1.00 sec =   88.5727 Mbps     0 / 21624 ~drop/pkt  0.00 ~%loss
   10.5601 MB /   1.00 sec =   88.5836 Mbps     0 / 21627 ~drop/pkt  0.00 ~%loss
   10.5586 MB /   1.00 sec =   88.5688 Mbps     0 / 21624 ~drop/pkt  0.00 ~%loss
   10.5596 MB /   1.00 sec =   88.5804 Mbps     0 / 21626 ~drop/pkt  0.00 ~%loss
   10.5605 MB /   1.00 sec =   88.5911 Mbps     0 / 21628 ~drop/pkt  0.00 ~%loss
   10.5581 MB /   1.00 sec =   88.5660 Mbps     0 / 21623 ~drop/pkt  0.00 ~%loss
   10.5601 MB /   1.00 sec =   88.5857 Mbps     0 / 21627 ~drop/pkt  0.00 ~%loss
   10.5605 MB /   1.00 sec =   88.5884 Mbps     0 / 21628 ~drop/pkt  0.00 ~%loss
   10.5581 MB /   1.00 sec =   88.5681 Mbps     0 / 21623 ~drop/pkt  0.00 ~%loss
   10.5605 MB /   1.00 sec =   88.5881 Mbps     0 / 21628 ~drop/pkt  0.00 ~%loss
   10.5581 MB /   1.00 sec =   88.5661 Mbps     0 / 21623 ~drop/pkt  0.00 ~%loss
   10.5596 MB /   1.00 sec =   88.5796 Mbps     0 / 21626 ~drop/pkt  0.00 ~%loss
   10.5576 MB /   1.00 sec =   88.5628 Mbps     0 / 21622 ~drop/pkt  0.00 ~%loss
   10.5620 MB /   1.00 sec =   88.6036 Mbps     0 / 21631 ~drop/pkt  0.00 ~%loss

  633.6226 MB /  60.00 sec =   88.5806 Mbps 1 %TX 17 %RX 0 / 1297659 drop/pkt 0.00 %loss
