   10.9391 MB /   1.00 sec =   91.7615 Mbps     0 /  7647 ~drop/pkt  0.00 ~%loss
   10.9305 MB /   1.00 sec =   91.6922 Mbps     0 /  7641 ~drop/pkt  0.00 ~%loss
   10.9305 MB /   1.00 sec =   91.6907 Mbps     0 /  7641 ~drop/pkt  0.00 ~%loss
   10.9320 MB /   1.00 sec =   91.7056 Mbps     0 /  7642 ~drop/pkt  0.00 ~%loss
   10.9305 MB /   1.00 sec =   91.6917 Mbps     0 /  7641 ~drop/pkt  0.00 ~%loss
   10.9320 MB /   1.00 sec =   91.7025 Mbps     0 /  7642 ~drop/pkt  0.00 ~%loss
   10.9305 MB /   1.00 sec =   91.6935 Mbps     0 /  7641 ~drop/pkt  0.00 ~%loss
   10.9305 MB /   1.00 sec =   91.6920 Mbps     0 /  7641 ~drop/pkt  0.00 ~%loss
   10.9320 MB /   1.00 sec =   91.7031 Mbps     0 /  7642 ~drop/pkt  0.00 ~%loss
   10.9305 MB /   1.00 sec =   91.6929 Mbps     0 /  7641 ~drop/pkt  0.00 ~%loss
   10.9305 MB /   1.00 sec =   91.6907 Mbps     0 /  7641 ~drop/pkt  0.00 ~%loss
   10.9320 MB /   1.00 sec =   91.7054 Mbps     0 /  7642 ~drop/pkt  0.00 ~%loss
   10.9305 MB /   1.00 sec =   91.6919 Mbps     0 /  7641 ~drop/pkt  0.00 ~%loss
   10.9320 MB /   1.00 sec =   91.7026 Mbps     0 /  7642 ~drop/pkt  0.00 ~%loss
   10.9305 MB /   1.00 sec =   91.6950 Mbps     0 /  7641 ~drop/pkt  0.00 ~%loss
   10.9305 MB /   1.00 sec =   91.6921 Mbps     0 /  7641 ~drop/pkt  0.00 ~%loss
   10.9320 MB /   1.00 sec =   91.7037 Mbps     0 /  7642 ~drop/pkt  0.00 ~%loss
   10.9305 MB /   1.00 sec =   91.6922 Mbps     0 /  7641 ~drop/pkt  0.00 ~%loss
   10.9305 MB /   1.00 sec =   91.6920 Mbps     0 /  7641 ~drop/pkt  0.00 ~%loss
   10.9320 MB /   1.00 sec =   91.7040 Mbps     0 /  7642 ~drop/pkt  0.00 ~%loss
   10.9305 MB /   1.00 sec =   91.6920 Mbps     0 /  7641 ~drop/pkt  0.00 ~%loss
   10.9320 MB /   1.00 sec =   91.6987 Mbps     0 /  7642 ~drop/pkt  0.00 ~%loss
   10.9305 MB /   1.00 sec =   91.6973 Mbps     0 /  7641 ~drop/pkt  0.00 ~%loss
   10.9305 MB /   1.00 sec =   91.6920 Mbps     0 /  7641 ~drop/pkt  0.00 ~%loss
   10.9320 MB /   1.00 sec =   91.7036 Mbps     0 /  7642 ~drop/pkt  0.00 ~%loss
   10.9305 MB /   1.00 sec =   91.6924 Mbps     0 /  7641 ~drop/pkt  0.00 ~%loss
   10.9305 MB /   1.00 sec =   91.6920 Mbps     0 /  7641 ~drop/pkt  0.00 ~%loss
   10.9320 MB /   1.00 sec =   91.7040 Mbps     0 /  7642 ~drop/pkt  0.00 ~%loss
   10.9305 MB /   1.00 sec =   91.6921 Mbps     0 /  7641 ~drop/pkt  0.00 ~%loss
   10.9305 MB /   1.00 sec =   91.6919 Mbps     0 /  7641 ~drop/pkt  0.00 ~%loss
   10.9320 MB /   1.00 sec =   91.7040 Mbps     0 /  7642 ~drop/pkt  0.00 ~%loss
   10.9305 MB /   1.00 sec =   91.6920 Mbps     0 /  7641 ~drop/pkt  0.00 ~%loss
   10.9305 MB /   1.00 sec =   91.6921 Mbps     0 /  7641 ~drop/pkt  0.00 ~%loss
   10.9320 MB /   1.00 sec =   91.7039 Mbps     0 /  7642 ~drop/pkt  0.00 ~%loss
   10.9305 MB /   1.00 sec =   91.6921 Mbps     0 /  7641 ~drop/pkt  0.00 ~%loss
   10.9320 MB /   1.00 sec =   91.7040 Mbps     0 /  7642 ~drop/pkt  0.00 ~%loss
   10.9305 MB /   1.00 sec =   91.6920 Mbps     0 /  7641 ~drop/pkt  0.00 ~%loss
   10.9305 MB /   1.00 sec =   91.6920 Mbps     0 /  7641 ~drop/pkt  0.00 ~%loss
   10.9320 MB /   1.00 sec =   91.7040 Mbps     0 /  7642 ~drop/pkt  0.00 ~%loss
   10.9305 MB /   1.00 sec =   91.6920 Mbps     0 /  7641 ~drop/pkt  0.00 ~%loss
   10.9305 MB /   1.00 sec =   91.6920 Mbps     0 /  7641 ~drop/pkt  0.00 ~%loss
   10.9320 MB /   1.00 sec =   91.7039 Mbps     0 /  7642 ~drop/pkt  0.00 ~%loss
   10.9305 MB /   1.00 sec =   91.6921 Mbps     0 /  7641 ~drop/pkt  0.00 ~%loss
   10.9320 MB /   1.00 sec =   91.7034 Mbps     0 /  7642 ~drop/pkt  0.00 ~%loss
   10.9305 MB /   1.00 sec =   91.6926 Mbps     0 /  7641 ~drop/pkt  0.00 ~%loss
   10.9305 MB /   1.00 sec =   91.6919 Mbps     0 /  7641 ~drop/pkt  0.00 ~%loss
   10.9320 MB /   1.00 sec =   91.7041 Mbps     0 /  7642 ~drop/pkt  0.00 ~%loss
   10.9305 MB /   1.00 sec =   91.6920 Mbps     0 /  7641 ~drop/pkt  0.00 ~%loss
   10.9305 MB /   1.00 sec =   91.6920 Mbps     0 /  7641 ~drop/pkt  0.00 ~%loss
   10.9320 MB /   1.00 sec =   91.7040 Mbps     0 /  7642 ~drop/pkt  0.00 ~%loss
   10.9305 MB /   1.00 sec =   91.6919 Mbps     0 /  7641 ~drop/pkt  0.00 ~%loss
   10.9305 MB /   1.00 sec =   91.6920 Mbps     0 /  7641 ~drop/pkt  0.00 ~%loss
   10.9320 MB /   1.00 sec =   91.7041 Mbps     0 /  7642 ~drop/pkt  0.00 ~%loss
   10.9305 MB /   1.00 sec =   91.6919 Mbps     0 /  7641 ~drop/pkt  0.00 ~%loss
   10.9320 MB /   1.00 sec =   91.7019 Mbps     0 /  7642 ~drop/pkt  0.00 ~%loss
   10.9305 MB /   1.00 sec =   91.6942 Mbps     0 /  7641 ~drop/pkt  0.00 ~%loss
   10.9305 MB /   1.00 sec =   91.6920 Mbps     0 /  7641 ~drop/pkt  0.00 ~%loss
   10.9320 MB /   1.00 sec =   91.7040 Mbps     0 /  7642 ~drop/pkt  0.00 ~%loss
   10.9305 MB /   1.00 sec =   91.6920 Mbps     0 /  7641 ~drop/pkt  0.00 ~%loss
   10.9305 MB /   1.00 sec =   91.6919 Mbps     0 /  7641 ~drop/pkt  0.00 ~%loss

  655.9224 MB /  60.00 sec =   91.6975 Mbps 13 %TX 2 %RX 0 / 458523 drop/pkt 0.00 %loss
