   10.4775 MB /   1.00 sec =   87.8885 Mbps     0 / 21458 ~drop/pkt  0.00 ~%loss
   10.4624 MB /   1.00 sec =   87.7653 Mbps     0 / 21427 ~drop/pkt  0.00 ~%loss
   10.4629 MB /   1.00 sec =   87.7700 Mbps     0 / 21428 ~drop/pkt  0.00 ~%loss
   10.4624 MB /   1.00 sec =   87.7652 Mbps     0 / 21427 ~drop/pkt  0.00 ~%loss
   10.4629 MB /   1.00 sec =   87.7678 Mbps     0 / 21428 ~drop/pkt  0.00 ~%loss
   10.4624 MB /   1.00 sec =   87.7651 Mbps     0 / 21427 ~drop/pkt  0.00 ~%loss
   10.4624 MB /   1.00 sec =   87.7666 Mbps     0 / 21427 ~drop/pkt  0.00 ~%loss
   10.4629 MB /   1.00 sec =   87.7688 Mbps     0 / 21428 ~drop/pkt  0.00 ~%loss
   10.4624 MB /   1.00 sec =   87.7650 Mbps     0 / 21427 ~drop/pkt  0.00 ~%loss
   10.4624 MB /   1.00 sec =   87.7643 Mbps     0 / 21427 ~drop/pkt  0.00 ~%loss
   10.4624 MB /   1.00 sec =   87.7646 Mbps     0 / 21427 ~drop/pkt  0.00 ~%loss
   10.4629 MB /   1.00 sec =   87.7701 Mbps     0 / 21428 ~drop/pkt  0.00 ~%loss
   10.4624 MB /   1.00 sec =   87.7644 Mbps     0 / 21427 ~drop/pkt  0.00 ~%loss
   10.4629 MB /   1.00 sec =   87.7696 Mbps     0 / 21428 ~drop/pkt  0.00 ~%loss
   10.4624 MB /   1.00 sec =   87.7651 Mbps     0 / 21427 ~drop/pkt  0.00 ~%loss
   10.4624 MB /   1.00 sec =   87.7631 Mbps     0 / 21427 ~drop/pkt  0.00 ~%loss
   10.4634 MB /   1.00 sec =   87.7756 Mbps     0 / 21429 ~drop/pkt  0.00 ~%loss
   10.4619 MB /   1.00 sec =   87.7593 Mbps     0 / 21426 ~drop/pkt  0.00 ~%loss
   10.4624 MB /   1.00 sec =   87.7666 Mbps     0 / 21427 ~drop/pkt  0.00 ~%loss
   10.4629 MB /   1.00 sec =   87.7677 Mbps     0 / 21428 ~drop/pkt  0.00 ~%loss
   10.4629 MB /   1.00 sec =   87.7699 Mbps     0 / 21428 ~drop/pkt  0.00 ~%loss
   10.4619 MB /   1.00 sec =   87.7610 Mbps     0 / 21426 ~drop/pkt  0.00 ~%loss
   10.4629 MB /   1.00 sec =   87.7689 Mbps     0 / 21428 ~drop/pkt  0.00 ~%loss
   10.4624 MB /   1.00 sec =   87.7653 Mbps     0 / 21427 ~drop/pkt  0.00 ~%loss
   10.4624 MB /   1.00 sec =   87.7641 Mbps     0 / 21427 ~drop/pkt  0.00 ~%loss
   10.4629 MB /   1.00 sec =   87.7698 Mbps     0 / 21428 ~drop/pkt  0.00 ~%loss
   10.4624 MB /   1.00 sec =   87.7649 Mbps     0 / 21427 ~drop/pkt  0.00 ~%loss
   10.4629 MB /   1.00 sec =   87.7694 Mbps     0 / 21428 ~drop/pkt  0.00 ~%loss
   10.4629 MB /   1.00 sec =   87.7693 Mbps     0 / 21428 ~drop/pkt  0.00 ~%loss
   10.4619 MB /   1.00 sec =   87.7605 Mbps     0 / 21426 ~drop/pkt  0.00 ~%loss
   10.4629 MB /   1.00 sec =   87.7697 Mbps     0 / 21428 ~drop/pkt  0.00 ~%loss
   10.4624 MB /   1.00 sec =   87.7644 Mbps     0 / 21427 ~drop/pkt  0.00 ~%loss
   10.4629 MB /   1.00 sec =   87.7692 Mbps     0 / 21428 ~drop/pkt  0.00 ~%loss
   10.4619 MB /   1.00 sec =   87.7615 Mbps     0 / 21426 ~drop/pkt  0.00 ~%loss
   10.4629 MB /   1.00 sec =   87.7673 Mbps     0 / 21428 ~drop/pkt  0.00 ~%loss
   10.4624 MB /   1.00 sec =   87.7657 Mbps     0 / 21427 ~drop/pkt  0.00 ~%loss
   10.4624 MB /   1.00 sec =   87.7645 Mbps     0 / 21427 ~drop/pkt  0.00 ~%loss
   10.4629 MB /   1.00 sec =   87.7700 Mbps     0 / 21428 ~drop/pkt  0.00 ~%loss
   10.4624 MB /   1.00 sec =   87.7651 Mbps     0 / 21427 ~drop/pkt  0.00 ~%loss
   10.4629 MB /   1.00 sec =   87.7692 Mbps     0 / 21428 ~drop/pkt  0.00 ~%loss
   10.4624 MB /   1.00 sec =   87.7637 Mbps     0 / 21427 ~drop/pkt  0.00 ~%loss
   10.4624 MB /   1.00 sec =   87.7662 Mbps     0 / 21427 ~drop/pkt  0.00 ~%loss
   10.4629 MB /   1.00 sec =   87.7692 Mbps     0 / 21428 ~drop/pkt  0.00 ~%loss
   10.4624 MB /   1.00 sec =   87.7637 Mbps     0 / 21427 ~drop/pkt  0.00 ~%loss
   10.4629 MB /   1.00 sec =   87.7709 Mbps     0 / 21428 ~drop/pkt  0.00 ~%loss
   10.4619 MB /   1.00 sec =   87.7611 Mbps     0 / 21426 ~drop/pkt  0.00 ~%loss
   10.4629 MB /   1.00 sec =   87.7672 Mbps     0 / 21428 ~drop/pkt  0.00 ~%loss
   10.4624 MB /   1.00 sec =   87.7660 Mbps     0 / 21427 ~drop/pkt  0.00 ~%loss
   10.4624 MB /   1.00 sec =   87.7648 Mbps     0 / 21427 ~drop/pkt  0.00 ~%loss
   10.4629 MB /   1.00 sec =   87.7681 Mbps     0 / 21428 ~drop/pkt  0.00 ~%loss
   10.4629 MB /   1.00 sec =   87.7701 Mbps     0 / 21428 ~drop/pkt  0.00 ~%loss
   10.4619 MB /   1.00 sec =   87.7612 Mbps     0 / 21426 ~drop/pkt  0.00 ~%loss
   10.4629 MB /   1.00 sec =   87.7688 Mbps     0 / 21428 ~drop/pkt  0.00 ~%loss
   10.4624 MB /   1.00 sec =   87.7649 Mbps     0 / 21427 ~drop/pkt  0.00 ~%loss
   10.4629 MB /   1.00 sec =   87.7690 Mbps     0 / 21428 ~drop/pkt  0.00 ~%loss
   10.4629 MB /   1.00 sec =   87.7694 Mbps     0 / 21428 ~drop/pkt  0.00 ~%loss
   10.4619 MB /   1.00 sec =   87.7607 Mbps     0 / 21426 ~drop/pkt  0.00 ~%loss
   10.4624 MB /   1.00 sec =   87.7641 Mbps     0 / 21427 ~drop/pkt  0.00 ~%loss
   10.4629 MB /   1.00 sec =   87.7701 Mbps     0 / 21428 ~drop/pkt  0.00 ~%loss
   10.4624 MB /   1.00 sec =   87.7651 Mbps     0 / 21427 ~drop/pkt  0.00 ~%loss

  627.8037 MB /  60.00 sec =   87.7685 Mbps 22 %TX 12 %RX 0 / 1285742 drop/pkt 0.00 %loss
